"Property","City","State","Revenue_M","Actual_Share_Pct","Gravity_Pred_Pct","Gravity_Error_pp","LN_Pred_Pct","LN_Error_pp"
"Belterra Casino Resort","Florence","IN",91.8,0.49,1.04,0.68,0.55,0.19
"Hollywood Casino Perryville","Perryville","MD",90.5,0.48,1.44,1.03,0.96,0.55
"Belterra Park Gaming & Entertainment","Cincinnati","OH",88.7,0.47,0.52,1.05,0.05,0.58
"Isle of Capri Boonville","Boonville","MO",88.5,0.47,0.31,0.29,-0.16,-0.18
"French Lick Resort Casino","French Lick","IN",80.3,0.43,0.87,0.39,0.44,-0.04
"Batavia Downs Gaming","Batavia","NY",77.3,0.41,0.19,0.51,-0.22,0.1
"Diamond Jo Casino Dubuque","Dubuque","IA",74.2,0.39,0.24,0.34,-0.15,-0.05
"Isle Casino Hotel Bettendorf","Bettendorf","IA",73.7,0.39,0.19,0.36,-0.2,-0.03
"Harrahs Council Bluffs","Council Bluffs","IA",73,0.39,0.14,0.21,-0.25,-0.18
"Century Casino Cape Girardeau","Cape Girardeau","MO",72.1,0.38,0.4,0.4,0.02,0.02
"Hamburg Gaming","Hamburg","NY",70.9,0.38,0.23,0.72,-0.15,0.34
"Rocky Gap Casino Resort","Flintstone","MD",64.3,0.34,1.03,0.46,0.69,0.12
"Q Casino","Dubuque","IA",51.7,0.28,0.17,0.24,-0.11,-0.04
"Lakeside Hotel Casino","Osceola","IA",51.1,0.27,0.26,0.33,-0.01,0.06
"Century Casino Caruthersville","Caruthersville","MO",48.3,0.26,0.59,0.23,0.33,-0.03
"St. Jo Frontier Casino","St. Joseph","MO",48.1,0.26,0.26,0.45,0,0.19
"Catfish Bend Casino","Burlington","IA",44.9,0.24,0.29,0.4,0.05,0.16
"Rising Star Casino Resort","Rising Sun","IN",44.5,0.24,1.11,1.04,0.87,0.8
"Mark Twain Casino","La Grange","MO",38.5,0.2,0.65,0.58,0.45,0.38
"Wild Rose Casino Jefferson","Jefferson","IA",35.9,0.19,0.27,0.31,0.08,0.12
"Wild Rose Casino Clinton","Clinton","IA",33.2,0.18,0.34,0.42,0.16,0.24
"Wild Rose Casino Emmetsburg","Emmetsburg","IA",30.9,0.16,0.19,0.18,0.03,0.02
"Vernon Downs Casino Hotel","Vernon","NY",28.4,0.15,0.56,0.69,0.41,0.54
"Lady Luck Casino Nemacolin","Farmington","PA",22.2,0.12,0.88,0.56,0.76,0.44
"Casino Queen Marquette","Marquette","IA",21.4,0.11,0.19,0.21,0.08,0.1
