"Property","City","State","Revenue_M","Actual_Share_Pct","Predicted_Share_Pct","Error_pp"
"Century Casino Caruthersville","Caruthersville","MO",48.3,0.26,0.6,0.34
"St. Jo Frontier Casino","St. Joseph","MO",48.1,0.26,0.26,0
"Catfish Bend Casino","Burlington","IA",44.9,0.24,0.2,-0.04
"Rising Star Casino Resort","Rising Sun","IN",44.5,0.24,1.29,1.05
"Mark Twain Casino","La Grange","MO",38.5,0.21,0.65,0.44
"Wild Rose Casino Jefferson","Jefferson","IA",35.9,0.19,0.34,0.15
"Wild Rose Casino Clinton","Clinton","IA",33.2,0.18,0.25,0.07
"Wild Rose Casino Emmetsburg","Emmetsburg","IA",30.9,0.17,0.27,0.1
"Vernon Downs Casino Hotel","Vernon","NY",28.4,0.15,0.56,0.41
"Lady Luck Casino Nemacolin","Farmington","PA",22.2,0.12,0.88,0.76
"Casino Queen Marquette","Marquette","IA",21.4,0.12,0.26,0.14
