casino_id,name,city,state,facility_type,slots_revenue_2022,table_revenue_2022,total_revenue_2022,num_slots,num_tables,source
886,MGM National Harbor,Oxon Hill,MD,casino,NA,NA,884461710,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
780,Live! Casino & Hotel,Hanover,MD,casino,NA,NA,705362509,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
654,Horseshoe Casino Baltimore,Baltimore,MD,casino,NA,NA,209857010,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
224,Ocean Downs Casino,Berlin,MD,casino,NA,NA,96641383,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
640,Hollywood Casino Perryville,Perryville,MD,casino,NA,NA,90464964,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
1177,Rocky Gap Casino Resort,Flintstone,MD,casino,NA,NA,64349836,NA,NA,MLGCA monthly press releases (CY2022 sum of 12 months)
