,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LSA (2%) 3,"$673,002.46","$648,420.01","$645,114.03","$640,767.09","$600,475.58","$655,162.31","$652,903.84","$614,810.33","$702,650.88","$665,203.75","$678,268.60","$622,075.84","$7,798,854.72","$194,621,552.98",
EDTF (5.5%) 4,"$1,850,756.71","$1,783,155.00","$1,774,063.67","$1,762,109.48","$1,651,307.85","$1,801,696.33","$1,795,485.58","$1,690,728.40","$1,932,289.92","$1,829,310.32","$1,865,238.60","$1,710,708.52","$21,446,850.38","$320,303,303.99",
PRHDF 5,"$3,101,815.43","$2,998,440.11","$2,997,437.70","$2,946,860.68","$2,744,986.08","$2,997,034.13","$2,984,851.04","$2,781,440.02","$3,173,197.09","$3,010,301.32","$3,061,995.78","$2,782,775.72","$35,581,135.10","$656,429,747.22",
Taxable w/s/d,$362.31,$349.08,$358.88,$344.96,$334.04,$352.71,$351.49,$366.45,$378.27,$370.05,$365.15,$346.06,,,
Number of Machines 6,"2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996","2,996",,,
GTR % Change 7,-12.64%,-10.69%,-3.62%,-4.90%,-5.00%,-2.68%,12.78%,-9.41%,-2.31%,-7.04%,-1.23%,-1.94%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Harrah's Philadelphia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$136,641,555.05","$125,397,905.30","$123,056,270.69","$119,206,070.03","$115,496,628.15","$122,602,175.53","$122,683,985.26","$123,175,503.30","$137,464,557.90","$126,039,288.75","$128,084,390.33","$117,795,910.51","$1,497,644,240.80","$44,998,576,744.22",
Payouts,"$122,949,180.23","$112,410,087.29","$110,428,150.29","$106,954,875.71","$103,962,461.86","$110,217,199.47","$110,166,057.05","$110,123,561.76","$123,666,544.63","$113,365,924.49","$115,461,051.61","$106,027,564.00","$1,345,732,658.39","$40,529,861,750.65",
Promotional Plays (Internal) 1,"$2,172,333.80","$1,954,116.95","$2,141,907.32","$1,935,047.00","$1,939,017.80","$2,354,791.00","$2,215,441.20","$2,172,725.00","$2,368,873.00","$2,234,645.00","$2,388,439.00","$2,151,481.25","$26,028,818.32","$795,500,636.04",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,"$28,724.65",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,724.65","$46,092.95",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,347,643.11",
Gross Terminal Revenue,"$11,520,041.02","$11,033,701.06","$10,486,213.08","$10,316,147.32","$9,595,148.49","$10,030,185.06","$10,302,487.01","$10,879,216.54","$11,429,140.27","$10,438,719.26","$10,234,899.72","$9,616,865.26","$125,882,764.09","$3,675,562,000.64",
State Tax (34%),"$3,916,813.95","$3,751,458.36","$3,565,312.46","$3,507,490.11","$3,262,350.49","$3,410,262.92","$3,502,845.59","$3,698,933.64","$3,885,907.66","$3,549,164.54","$3,479,865.90","$3,269,734.19","$42,800,139.81","$1,249,691,080.50",
LSA (2%) 3,"$230,400.80","$220,674.01","$209,724.26","$206,322.97","$191,902.98","$200,603.72","$206,049.74","$217,584.33","$228,582.78","$208,774.41","$204,698.01","$192,337.31","$2,517,655.32","$125,550,858.00",
EDTF (5.5%) 4,"$633,602.26","$606,853.58","$576,741.69","$567,388.09","$527,733.14","$551,660.16","$566,636.76","$598,356.89","$628,602.70","$574,129.58","$562,919.49","$528,927.59","$6,923,551.93","$189,336,034.21",
PRHDF 5,"$1,061,042.36","$1,018,625.56","$972,187.91","$948,108.83","$876,693.73","$917,077.78","$941,073.06","$982,528.87","$1,031,379.50","$940,596.31","$917,365.05","$860,677.05","$11,467,356.01","$402,636,948.83",
Taxable w/s/d,$218.60,$209.35,$207.51,$198.08,$190.38,$192.59,$197.82,$231.28,$219.45,$207.12,$196.72,$192.16,,,
Number of Machines 6,"1,700","1,700","1,683","1,680","1,680","1,680","1,680","1,680","1,680","1,680","1,678","1,668",,,
GTR % Change 7,-14.32%,-9.91%,-8.40%,-12.50%,-9.07%,-12.70%,-2.81%,-8.64%,-11.06%,-13.37%,-16.83%,-13.30%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Presque Isle,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$112,903,077.33","$108,195,493.61","$97,165,224.05","$91,495,295.92","$73,246,426.32","$81,045,000.07","$80,990,063.25","$85,018,336.73","$92,183,988.89","$89,854,863.56","$88,810,874.70","$86,515,542.22","$1,087,424,186.65","$25,354,370,965.96",
Payouts,"$100,985,926.59","$97,187,754.01","$87,359,975.07","$81,847,599.08","$65,491,647.57","$72,497,381.18","$72,369,823.58","$76,132,538.93","$82,481,592.22","$80,520,592.09","$79,545,962.92","$77,390,581.01","$973,811,374.25","$22,839,483,450.97",
Promotional Plays (Internal) 1,"$2,829,248.31","$2,332,742.11","$1,561,972.60","$1,497,568.67","$988,009.52","$1,342,925.96","$1,319,508.59","$1,364,845.19","$1,611,129.81","$1,520,683.95","$1,412,972.56","$1,433,024.98","$19,214,632.25","$430,427,197.28",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$324,383.02",
Gross Terminal Revenue,"$9,087,902.43","$8,674,997.49","$8,243,276.38","$8,150,128.17","$6,766,769.23","$7,204,692.93","$7,300,731.08","$7,520,952.61","$8,091,266.86","$7,813,587.52","$7,851,939.22","$7,691,936.23","$94,398,180.15","$2,084,784,700.73",
State Tax (34%),"$3,089,886.83","$2,949,499.13","$2,802,713.97","$2,771,043.59","$2,300,701.57","$2,449,595.62","$2,482,248.58","$2,557,123.89","$2,751,030.73","$2,656,619.75","$2,669,659.33","$2,615,258.31","$32,095,381.30","$708,826,798.97",
LSA (2%) 3,"$181,758.05","$173,499.94","$164,865.53","$163,002.56","$135,335.40","$144,093.88","$146,014.63","$150,419.06","$161,825.33","$156,271.74","$157,038.80","$153,838.74","$1,887,963.66","$70,175,846.55",
EDTF (5.5%) 4,"$499,834.66","$477,124.85","$453,380.19","$448,257.08","$372,172.30","$396,258.12","$401,540.20","$413,652.39","$445,019.68","$429,747.32","$431,856.67","$423,056.51","$5,191,899.97","$107,639,042.39",
PRHDF 5,"$839,272.30","$802,451.29","$762,184.37","$749,070.19","$619,187.93","$659,075.92","$667,404.31","$680,705.29","$731,245.63","$705,104.76","$706,664.49","$687,520.85","$8,609,887.33","$227,185,135.06",
Taxable w/s/d,$216.53,$208.13,$201.04,$188.37,$150.00,$152.56,$154.43,$176.13,$171.15,$170.79,$166.09,$168.13,,,
Number of Machines 6,"1,353","1,344","1,367","1,398","1,505","1,523","1,525","1,525","1,525","1,525","1,525","1,525",,,
GTR % Change 7,-13.10%,-7.82%,-8.22%,-8.37%,-7.03%,-9.94%,14.54%,4.47%,-7.03%,-12.26%,-4.37%,-1.30%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hollywood Casino at the Meadows,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$195,349,259.45","$181,252,647.23","$183,768,091.11","$180,231,618.86","$171,887,728.27","$185,219,750.27","$184,788,941.31","$177,647,388.24","$200,947,147.28","$195,559,234.35","$188,386,699.63","$184,844,286.79","$2,229,882,792.79","$44,199,106,217.27",
Payouts,"$176,857,847.16","$164,164,825.85","$166,500,029.49","$162,977,046.91","$155,819,797.73","$167,789,526.98","$167,593,071.10","$160,485,397.19","$181,690,658.71","$177,187,783.99","$170,753,859.62","$166,866,670.84","$2,018,686,515.57","$40,506,373,240.55",
