,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Promotional Plays (Internal) 1,"$4,932,794.88","$3,732,886.26","$4,498,335.95","$4,230,625.00","$4,084,160.23","$4,092,393.15","$3,698,552.24","$4,749,470.70","$5,085,488.03","$4,244,600.23","$3,957,285.00","$3,691,432.36","$50,998,024.03","$776,353,686.31",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$281,949.35",
Gross Terminal Revenue,"$24,593,204.81","$21,389,006.13","$22,399,460.77","$21,745,931.46","$20,879,236.00","$22,858,674.77","$21,106,468.66","$22,782,802.05","$24,914,181.07","$23,545,400.16","$22,403,861.16","$20,884,382.23","$269,502,609.27","$3,644,642,860.18",
State Tax (34%),"$8,361,689.65","$7,272,262.10","$7,615,816.65","$7,393,616.71","$7,098,940.26","$7,771,949.42","$7,176,199.37","$7,746,152.70","$8,470,821.58","$8,005,436.05","$7,617,312.80","$7,100,689.95","$91,630,887.24","$1,239,178,572.99",
LSA (2%) 3,"$491,864.08","$427,780.15","$447,989.20","$434,918.64","$417,584.75","$457,173.49","$422,129.38","$455,656.02","$498,283.62","$470,907.98","$448,077.23","$417,687.63","$5,390,052.17","$111,622,977.84",
EDTF (5.5%) 4,"$1,352,626.28","$1,176,395.31","$1,231,970.35","$1,196,026.22","$1,148,358.00","$1,257,227.09","$1,160,855.77","$1,253,054.12","$1,370,279.96","$1,294,997.03","$1,232,212.37","$1,148,641.01","$14,822,643.51","$191,098,192.68",
PRHDF 5,"$2,258,776.81","$1,969,258.04","$2,073,731.33","$1,997,817.25","$1,895,975.44","$2,085,371.53","$1,914,830.20","$2,049,954.61","$2,240,913.73","$2,118,953.71","$2,004,326.71","$1,858,264.16","$24,468,173.52","$379,870,596.00",
Taxable w/s/d,$321.71,$279.79,$302.86,$285.16,$285.49,$309.41,$291.22,$350.12,$345.82,$337.71,$310.97,$301.09,,,
Number of Machines 6,"2,466","2,466","2,465","2,460","2,436","2,383","2,337","2,324","2,324","2,324","2,324","2,311",,,
GTR % Change 7,-2.90%,-4.65%,-0.89%,-4.98%,-1.08%,0.22%,7.52%,6.20%,0.66%,-1.20%,0.97%,-1.24%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rivers Philadelphia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$115,089,517.94","$115,347,821.54","$114,006,165.74","$129,853,795.97","$127,796,849.38","$134,517,755.29","$138,692,077.79","$134,962,508.13","$159,672,150.07","$146,112,646.27","$145,687,731.82","$137,527,238.07","$1,599,266,258.01","$23,254,105,099.79",
Payouts,"$104,216,274.82","$104,031,266.77","$103,393,791.86","$117,794,279.69","$116,380,355.90","$121,510,673.41","$125,964,985.05","$122,001,140.03","$144,372,586.14","$131,992,742.96","$131,824,962.42","$124,112,147.37","$1,447,595,206.42","$20,884,042,059.01",
Promotional Plays (Internal) 1,"$1,090,488.29","$1,099,542.75","$1,105,721.17","$1,769,130.98","$1,536,291.81","$1,850,189.43","$1,654,507.45","$1,635,856.17","$2,159,503.17","$2,047,621.54","$1,996,366.80","$1,693,520.37","$19,638,739.93","$327,079,355.72",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$312,472.50",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"($383,464.38)",
Gross Terminal Revenue,"$9,782,754.83","$10,217,012.02","$9,506,652.71","$10,290,385.30","$9,880,201.67","$11,156,892.45","$11,072,585.29","$11,325,511.93","$13,140,060.76","$12,072,281.77","$11,866,402.60","$11,721,570.33","$132,032,311.66","$2,043,109,666.76",
State Tax (34%),"$3,326,136.65","$3,473,784.10","$3,232,261.93","$3,498,730.96","$3,359,268.54","$3,793,343.41","$3,764,679.00","$3,850,674.07","$4,467,620.65","$4,104,575.81","$4,034,576.86","$3,985,333.91","$44,890,985.89","$694,484,075.56",
LSA (2%) 3,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$47,398,367.28",
EDTF (5.5%) 4,"$538,051.50","$561,935.67","$522,865.90","$565,971.17","$543,411.09","$613,629.08","$608,992.20","$622,903.16","$722,703.35","$663,975.48","$652,652.12","$644,686.36","$7,261,777.08","$107,128,250.51",
PRHDF 5,"$898,308.09","$941,959.61","$880,004.91","$941,396.67","$899,469.42","$1,018,804.07","$1,011,220.71","$1,021,382.45","$1,186,481.57","$1,087,325.85","$1,063,197.63","$1,045,409.34","$11,994,960.32","$211,801,243.82",
Taxable w/s/d,$201.06,$210.40,$201.58,$214.28,$214.28,$232.64,$230.89,$261.46,$275.76,$262.99,$249.33,$254.88,,,
Number of Machines 6,"1,569","1,566","1,572","1,550","1,536","1,547","1,547","1,547","1,536","1,530","1,535","1,533",,,
GTR % Change 7,-24.93%,-12.28%,-6.63%,-1.48%,-4.76%,14.57%,55.70%,34.45%,21.47%,12.71%,12.64%,17.32%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Valley Forge,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$107,861,638.71","$102,553,917.72","$98,101,298.84","$97,133,779.44","$97,186,405.10","$102,466,736.47","$98,234,502.45","$97,505,592.88","$113,050,418.61","$111,772,800.97","$105,359,393.34","$105,302,559.51","$1,236,529,044.04","$11,402,460,758.70",
Payouts,"$97,904,540.68","$92,618,183.82","$89,061,674.80","$87,867,254.61","$88,515,180.66","$92,963,521.66","$88,952,431.74","$88,515,237.15","$102,058,497.94","$101,992,217.33","$95,114,868.93","$95,462,503.85","$1,121,026,113.17","$10,311,375,406.93",
Promotional Plays (Internal) 1,"$1,214,492.31","$1,094,739.61","$979,405.03","$952,384.76","$945,880.72","$954,216.59","$963,828.34","$934,561.99","$1,089,223.34","$1,091,661.65","$1,009,856.87","$924,085.45","$12,154,336.66","$176,397,650.09",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,865.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,865.00","$3,865.00",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$78,149.05",
Gross Terminal Revenue,"$8,742,605.72","$8,840,994.29","$8,060,219.01","$8,314,140.07","$7,725,343.72","$8,548,998.22","$8,318,242.37","$8,055,793.74","$9,902,697.33","$8,688,921.99","$9,234,667.54","$8,915,970.21","$103,348,594.21","$914,765,850.73",
State Tax (34%),"$2,972,485.95","$3,005,938.07","$2,740,474.46","$2,826,807.63","$2,626,616.87","$2,906,659.37","$2,828,202.40","$2,738,969.86","$3,366,917.10","$2,954,233.49","$3,139,786.95","$3,031,429.87","$35,138,522.02","$311,020,389.56",
LSA (4%) 3,"$349,704.19","$353,639.76","$322,408.75","$332,565.60","$309,013.73","$341,959.94","$332,729.70","$322,231.78","$396,107.93","$347,556.88","$369,386.71","$356,638.82","$4,133,943.79","$34,661,863.59",
EDTF (5.5%) 4,"$480,843.32","$486,254.71","$443,312.04","$457,277.70","$424,893.91","$470,194.89","$457,503.32","$443,068.64","$544,648.35","$477,890.73","$507,906.72","$490,378.36","$5,684,172.69","$48,873,546.15",
PRHDF 5,"$803,259.03","$811,731.44","$744,566.37","$761,189.94","$703,899.16","$778,420.22","$756,735.96","$726,833.89","$893,796.15","$783,742.29","$826,642.78","$794,506.71","$9,385,323.94","$92,150,861.53",
Taxable w/s/d,$331.79,$335.52,$316.09,$315.53,$302.95,$324.44,$315.68,$338.48,$375.81,$340.74,$350.46,$349.65,,,
Number of Machines 6,850,850,850,850,850,850,850,850,850,850,850,850,,,
GTR % Change 7,-3.36%,4.04%,-6.14%,-8.75%,-11.81%,-6.84%,1.97%,-3.64%,4.73%,-10.34%,3.61%,10.03%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nemacolin,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$21,880,968.23","$18,922,604.09","$19,637,791.46","$18,566,900.49","$15,600,544.58","$15,300,641.22","$16,045,604.60","$17,312,752.94","$17,752,250.24","$17,706,648.59","$18,486,499.93","$18,969,515.60","$216,182,721.97","$2,954,921,015.44",
Payouts,"$19,590,699.90","$17,044,657.17","$17,645,647.18","$16,653,263.25","$14,069,778.77","$13,772,754.64","$14,454,757.37","$15,555,857.21","$15,992,138.40","$15,849,105.03","$16,623,361.53","$16,949,992.14","$194,202,012.59","$2,651,911,067.54",
Promotional Plays (Internal) 1,"$326,538.43","$270,423.21","$269,153.80","$256,509.71","$210,675.46","$208,211.11","$219,190.48","$250,540.14","$284,548.73","$282,674.51","$267,564.45","$326,056.60","$3,172,086.63","$48,929,477.94",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$46,895.65",
Gross Terminal Revenue,"$1,963,729.90","$1,607,523.71","$1,722,990.48","$1,657,127.53","$1,320,090.35","$1,319,675.47","$1,371,656.75","$1,506,355.59","$1,475,563.11","$1,574,869.05","$1,595,573.95","$1,693,466.86","$18,808,622.75","$254,127,365.61",
State Tax (34%),"$667,668.18","$546,558.06","$585,816.78","$563,423.38","$448,830.74","$448,689.65","$466,363.29","$512,160.91","$501,691.45","$535,455.49","$542,495.15","$575,778.73","$6,394,931.81","$86,403,304.80",
LSA (4%) 3,"$78,549.17","$64,300.94","$68,919.60","$66,285.09","$52,803.61","$52,787.02","$54,866.27","$60,254.19","$59,022.55","$62,994.74","$63,822.95","$67,738.67","$752,344.80","$9,459,701.39",
EDTF (5.5%) 4,"$108,005.17","$88,413.81","$94,764.48","$91,142.03","$72,604.98","$72,582.14","$75,441.11","$82,849.54","$81,156.00","$86,617.80","$87,756.57","$93,140.68","$1,034,474.31","$13,521,559.23",
PRHDF 5,"$178,923.68","$147,992.35","$159,074.43","$152,269.04","$118,273.46","$119,484.52","$124,841.77","$134,800.86","$132,868.12","$141,064.79","$143,001.89","$150,796.59","$1,703,391.50","$25,657,479.19",
Taxable w/s/d,$105.58,$86.43,$95.72,$89.09,$73.34,$70.95,$73.74,$89.66,$79.33,$87.49,$85.78,$94.08,,,
Number of Machines 6,600,600,600,600,600,600,600,600,600,600,600,600,,,
GTR % Change 7,-13.30%,-25.72%,-15.21%,0.69%,-22.84%,-21.04%,-5.76%,-17.20%,-22.14%,-19.27%,-18.12%,7.86%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Live! Casino Pittsburgh,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$96,199,859.50","$93,345,959.17","$89,359,075.32","$92,211,065.98","$86,047,618.47","$92,520,761.28","$95,022,131.63","$92,644,046.57","$98,181,680.07","$95,267,050.24","$95,511,207.60","$95,545,943.75","$1,121,856,399.58","$2,746,261,991.51",
Payouts,"$86,386,610.53","$83,723,823.26","$79,937,638.85","$82,629,833.79","$77,052,950.35","$83,075,782.18","$85,143,074.71","$83,220,584.84","$87,777,581.49","$85,547,688.00","$85,715,511.09","$85,394,379.61","$1,005,605,458.70","$2,465,757,782.65",
Promotional Plays (Internal) 1,"$1,435,286.93","$1,491,085.40","$1,308,932.32","$1,353,063.02","$1,170,408.36","$1,340,587.50","$1,567,173.78","$1,358,041.06","$1,465,175.62","$1,454,771.94","$1,565,454.63","$1,538,628.35","$17,048,608.91","$45,445,721.74",
Promotional Plays (External) 1,"$1,936.55","$1,971.37","$1,712.84","$2,393.89","$46,503.49","$85,574.59",$0.00,$0.00,$31.86,$4.31,$0.00,$0.00,"$140,128.90","$379,220.36",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Gross Terminal Revenue,"$8,377,962.04","$8,131,050.51","$8,112,504.15","$8,228,169.17","$7,824,259.76","$8,104,391.60","$8,311,883.14","$8,065,420.67","$8,938,922.96","$8,264,590.30","$8,230,241.88","$8,612,935.79","$99,202,331.97","$235,058,487.12",
State Tax (34%),"$2,848,507.10","$2,764,557.19","$2,758,251.42","$2,797,577.54","$2,660,248.32","$2,755,493.12","$2,826,040.27","$2,742,243.04","$3,039,233.84","$2,809,960.69","$2,798,282.23","$2,928,398.19","$33,728,792.95","$79,919,885.76",
LSA (2%) 3,"$335,118.50","$325,242.06","$324,500.16","$329,126.77","$312,970.35","$324,175.67","$332,475.32","$322,616.85","$357,556.92","$330,583.65","$329,209.70","$344,517.44","$3,968,093.39","$9,402,339.62",
EDTF (5.5%) 4,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
PRHDF 5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Act 42 EDTF (6%),"$502,677.70","$487,863.03","$486,750.23","$493,690.14","$469,455.60","$486,263.52","$498,712.99","$483,925.25","$536,335.39","$495,875.42","$493,814.53","$516,776.13","$5,952,139.93","$14,103,509.31",
Act 42 LSA (5%),"$418,898.11","$406,552.55","$405,625.21","$411,408.45","$391,213.00","$405,219.59","$415,594.13","$403,271.03","$446,946.19","$413,229.51","$411,512.08","$430,646.82","$4,960,116.67","$11,752,924.62",
Act 42 County Grants (5%),"$418,898.11","$406,552.55","$405,625.21","$411,408.45","$391,213.00","$405,219.59","$415,594.13","$403,271.03","$446,946.19","$413,229.51","$411,512.08","$430,646.82","$4,960,116.67","$11,752,924.62",
Taxable w/s/d,$360.34,$349.72,$360.56,$353.90,$348.36,$348.58,$357.65,$384.07,$384.47,$367.41,$353.99,$382.80,,,
Number of Machines 6,750,750,750,750,748,750,749,750,750,749,750,750,,,
GTR % Change 7,-0.29%,0.44%,6.69%,3.95%,12.73%,3.59%,21.99%,4.60%,5.64%,-6.46%,0.91%,22.08%,,,
,,,,,,,,,,,,,,,
Live! Casino Philadelphia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$123,825,316.67","$115,970,334.31","$118,221,425.17","$115,957,949.13","$116,468,122.77","$123,894,733.50","$130,449,967.71","$124,955,605.70","$143,147,938.92","$128,697,067.31","$129,429,356.72","$121,403,010.52","$1,492,420,828.43","$3,577,063,681.34",
Payouts,"$111,094,520.08","$103,979,238.18","$105,667,003.96","$103,696,240.84","$104,249,927.53","$111,315,902.63","$116,743,414.82","$112,138,285.20","$127,816,596.70","$115,486,258.57","$115,604,212.05","$108,342,873.07","$1,336,134,473.63","$3,204,279,435.64",
Promotional Plays (Internal) 1,"$2,250,187.14","$2,058,019.22","$1,851,652.70","$1,676,807.46","$1,904,150.26","$2,118,667.35","$2,385,918.20","$1,979,622.21","$2,267,644.57","$2,146,438.75","$2,287,656.98","$2,141,762.60","$25,068,527.44","$61,218,447.72",
Promotional Plays (External) 1,$0.00,$0.00,$0.02,$0.02,$0.00,"$80,041.48",$354.43,"$6,297.24",$746.78,"$27,054.03","$13,035.97","$6,062.19","$133,592.16","$287,600.83",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Gross Terminal Revenue,"$10,480,609.45","$9,933,076.91","$10,702,768.51","$10,584,900.83","$10,314,044.98","$10,460,163.52","$11,320,634.69","$10,837,698.29","$13,063,697.65","$11,064,369.99","$11,537,487.69","$10,918,374.85","$131,217,827.36","$311,565,797.98",
State Tax (34%),"$3,563,407.24","$3,377,246.15","$3,638,941.31","$3,598,866.29","$3,506,775.32","$3,556,455.61","$3,849,015.81","$3,684,817.41","$4,441,657.22","$3,761,885.79","$3,922,745.79","$3,712,247.46","$44,614,061.40","$105,932,371.37",
LSA (2%) 3,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
EDTF (5.5%) 4,"$576,433.53","$546,319.24","$588,652.27","$582,169.56","$567,272.47","$575,308.99","$622,634.94","$596,073.40","$718,503.35","$608,540.34","$634,561.81","$600,510.62","$7,216,980.52","$17,136,118.78",
PRHDF 5,"$961,784.27","$914,019.42","$989,740.89","$969,062.85","$939,475.82","$955,272.06","$1,029,642.18","$976,807.44","$1,178,222.94","$997,812.11","$1,035,365.81","$975,274.19","$11,922,479.98","$29,061,950.42",
Taxable w/s/d,$159.90,$154.64,$172.18,$165.10,$166.41,$164.48,$178.66,$189.97,$208.62,$182.58,$184.60,$181.69,,,
Number of Machines 6,"2,114","2,072","2,072","2,068","2,066","2,051","2,044","2,037","2,020","2,020","2,016","2,002",,,
GTR % Change 7,-12.94%,-9.55%,11.24%,5.05%,10.28%,14.49%,76.28%,19.88%,13.27%,-7.66%,9.82%,3.83%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hollywood Casino York,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$79,043,649.77","$74,183,733.75","$74,356,055.37","$80,708,649.64","$77,031,188.43","$85,719,495.46","$85,766,784.78","$83,186,699.99","$90,924,971.58","$86,849,059.34","$84,060,654.26","$80,240,775.14","$982,071,717.51","$1,761,754,524.21",
Payouts,"$71,284,215.81","$66,961,762.65","$66,982,848.89","$73,088,880.18","$69,606,250.19","$77,497,609.84","$77,593,011.13","$75,337,234.14","$82,589,109.48","$78,479,295.23","$75,756,086.00","$72,508,917.78","$887,685,221.32","$1,592,605,403.13",
Promotional Plays (Internal) 1,"$1,227,765.35","$885,266.62","$890,506.58","$1,143,568.74","$1,069,740.24","$1,318,535.58","$1,245,157.10","$1,095,409.80","$1,199,124.01","$1,296,355.49","$1,567,361.90","$1,296,104.04","$14,234,895.45","$30,373,336.30",
Promotional Plays (External) 1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.02,$0.02,$0.02,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"($163,802.50)",
Gross Terminal Revenue,"$6,531,668.61","$6,336,704.48","$6,482,699.90","$6,476,200.72","$6,355,198.00","$6,903,350.04","$6,928,616.55","$6,754,056.05","$7,136,738.09","$7,073,408.62","$6,737,206.36","$6,435,753.32","$80,151,600.74","$138,775,784.78",
State Tax (34%),"$2,220,767.35","$2,154,479.52","$2,204,118.00","$2,201,908.24","$2,160,767.30","$2,347,139.05","$2,355,729.64","$2,296,379.07","$2,426,490.96","$2,404,958.95","$2,290,650.18","$2,188,156.10","$27,251,544.36","$47,128,073.98",
LSA (2%) 3,"$261,266.74","$253,468.17","$259,308.00","$259,048.02","$254,207.92","$276,133.98","$277,144.67","$270,162.27","$285,469.56","$282,936.34","$269,488.27","$257,430.14","$3,206,064.08","$5,544,479.36",
EDTF (5.5%) 4,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
PRHDF 5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Act 42 EDTF (6%),"$391,900.13","$380,202.25","$388,962.00","$388,572.07","$381,311.89","$414,201.01","$415,716.96","$405,243.38","$428,204.26","$424,404.52","$404,232.40","$386,145.19","$4,809,096.06","$8,316,718.97",
Act 42 LSA (5%),"$326,583.44","$316,835.23","$324,134.99","$323,810.01","$317,759.91","$345,167.49","$346,430.82","$337,702.79","$356,836.91","$353,670.43","$336,860.35","$321,787.68","$4,007,580.05","$6,930,599.23",
Act 42 County Grants (5%),"$326,583.44","$316,835.23","$324,134.99","$323,810.01","$317,759.91","$345,167.49","$346,430.82","$337,702.79","$356,836.91","$353,670.43","$336,860.35","$321,787.68","$4,007,580.05","$6,930,599.23",
Taxable w/s/d,$422.18,$392.33,$401.73,$377.90,$384.77,$394.83,$392.11,$423.19,$403.89,$413.65,$374.72,$361.83,,,
Number of Machines 6,498,521,538,552,550,563,570,570,570,570,579,593,,,
GTR % Change 7,,47.42%,21.83%,15.34%,29.29%,33.38%,39.34%,17.89%,20.39%,18.68%,20.57%,25.66%,,,
,,,,,,,,,,,,,,,
Hollywood Casino Morgantown,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$58,780,215.03","$55,670,447.20","$58,834,877.42","$58,895,736.25","$53,987,849.56","$59,940,697.50","$60,948,604.16","$60,554,785.35","$66,641,400.81","$61,771,340.70","$60,081,804.03","$59,934,609.64","$716,042,367.65","$1,056,287,337.39",
Payouts,"$53,123,729.87","$50,421,884.30","$53,232,952.67","$53,062,010.53","$48,730,922.91","$53,929,303.17","$54,928,367.86","$54,711,577.73","$60,191,346.53","$55,836,615.25","$54,189,085.31","$54,180,188.56","$646,537,984.69","$952,893,303.64",
Promotional Plays (Internal) 1,"$1,509,213.28","$1,151,349.43","$1,457,289.18","$1,505,901.09","$1,044,507.84","$1,186,041.42","$1,132,611.18","$1,037,510.34","$1,093,392.69","$1,084,909.93","$1,173,968.33","$1,114,817.15","$14,491,511.86","$22,383,276.49",
Promotional Plays (External) 1,$0.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.01,$0.02,$0.00,$0.04,$0.06,
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Gross Terminal Revenue,"$4,147,271.88","$4,097,213.47","$4,144,635.57","$4,327,824.63","$4,212,418.81","$4,825,352.91","$4,887,625.12","$4,805,697.28","$5,356,661.59","$4,849,815.52","$4,718,750.39","$4,639,603.93","$55,012,871.10","$81,010,757.26",
State Tax (34%),"$1,410,072.43","$1,393,052.58","$1,409,176.07","$1,471,460.36","$1,432,222.41","$1,640,619.98","$1,661,792.54","$1,633,937.09","$1,821,264.94","$1,648,937.27","$1,604,375.15","$1,577,465.34","$18,704,376.16","$27,543,657.52",
LSA (2%) 3,"$165,890.89","$163,888.54","$165,785.41","$173,112.98","$168,496.73","$193,014.10","$195,504.98","$192,227.88","$214,266.47","$193,992.63","$188,750.01","$185,584.16","$2,200,514.78","$3,240,430.21",
EDTF (5.5%) 4,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
PRHDF 5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Act 42 EDTF (6%),"$248,836.29","$245,832.83","$248,678.15","$259,669.47","$252,745.16","$289,521.16","$293,257.51","$288,341.85","$321,399.67","$290,988.93","$283,125.02","$278,376.23","$3,300,772.27","$4,860,645.46",
Act 42 LSA (5%),"$207,363.60","$204,860.68","$207,231.80","$216,391.25","$210,620.92","$241,267.65","$244,381.28","$240,284.91","$267,833.09","$242,490.79","$235,937.53","$231,980.21","$2,750,643.71","$4,050,538.12",
Act 42 County Grants (5%),"$207,363.60","$204,860.68","$207,231.80","$216,391.25","$210,620.92","$241,267.65","$244,381.28","$240,284.91","$267,833.09","$242,490.79","$235,937.53","$231,980.21","$2,750,643.71","$4,050,538.12",
Taxable w/s/d,$178.38,$176.80,$184.21,$186.14,$188.44,$211.49,$214.22,$233.20,$234.78,$219.65,$208.18,$218.65,,,
Number of Machines 6,750,747,750,750,744,736,736,736,736,736,731,706,,,
GTR % Change 7,,,,,,96.44%,30.08%,18.33%,24.76%,16.68%,28.92%,28.42%,,,
,,,,,,,,,,,,,,,
Parx Shippensburg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,November 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,,,,,,,"$4,692,259.60","$32,207,399.13","$32,341,331.82","$28,926,370.22","$29,181,979.46","$27,675,968.01","$155,025,308.24","$155,025,308.24",
Payouts,,,,,,,"$4,133,632.82","$28,590,775.94","$28,779,686.85","$25,617,807.95","$25,919,734.35","$24,661,495.43","$137,703,133.34","$137,703,133.34",
Promotional Plays (Internal) 1,,,,,,,"$116,866.28","$574,313.32","$658,169.32","$649,062.03","$655,701.07","$687,101.90","$3,341,213.92","$3,341,213.92",
Promotional Plays (External) 1,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Adjustments 2,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Gross Terminal Revenue,,,,,,,"$441,760.50","$3,042,309.87","$2,903,475.65","$2,659,500.24","$2,606,544.04","$2,327,370.68","$13,980,960.98","$13,980,960.98",
State Tax (34%),,,,,,,"$150,198.57","$1,034,385.35","$987,181.76","$904,230.05","$886,225.00","$791,306.05","$4,753,526.78","$4,753,526.78",
LSA (2%) 3,,,,,,,"$17,670.42","$121,692.42","$116,139.03","$106,380.01","$104,261.76","$93,094.82","$559,238.46","$559,238.46",
EDTF (5.5%) 4,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
PRHDF 5,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
Act 42 EDTF (6%),,,,,,,"$26,505.62","$182,538.61","$174,208.54","$159,569.98","$156,392.65","$139,642.23","$838,857.63","$838,857.63",
Act 42 LSA (5%),,,,,,,"$22,088.03","$152,115.49","$145,173.79","$132,975.00","$130,327.20","$116,368.54","$699,048.05","$699,048.05",
Act 42 County Grants (5%),,,,,,,"$22,088.03","$152,115.49","$145,173.79","$132,975.00","$130,327.20","$116,368.54","$699,048.05",,
Taxable w/s/d,,,,,,,$97.97,$216.87,$186.95,$176.95,$167.83,$154.85,,,
Number of Machines 6,,,,,,,501,501,501,501,501,501,,,
